group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,2,renewal,89,90,31,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,90,91,32,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,91,92,6,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,92,93,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,93,94,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,94,95,23,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,95,96,27,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,96,97,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,97,98,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,98,99,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,99,100,32,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,0,1,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,1,2,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,2,3,5,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,3,4,31,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,4,5,31,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,5,6,6,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,6,7,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,7,8,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,8,9,30,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,9,10,30,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,10,11,28,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,11,12,3,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,12,13,13,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,13,14,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,14,15,14,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,15,16,7,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,16,17,5,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,17,18,12,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,18,19,6,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,19,20,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,20,21,19,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,21,22,20,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,22,23,20,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,23,24,28,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,24,25,13,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
