source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
28,20,4.0,3.0,Global on,Safety-like,9.0,60.0,0.15,8.0,0.34782608695652173,ITI,CS-,4.0,3.0,Global on,Safety-like,5.0,53.0,0.09433962264150944,5.0,0.20833333333333334,ITI,ITI,4.0,3.0,Global on,Safety-like,4.0,0.055660377358490554,3.0,0.1394927536231884,0.055660377358490554
7,18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,1.0,18.0,0.05555555555555555,1.0,0.041666666666666664,ITI,ITI,1.0,3.0,Global off,Safety-like,-1.0,-0.05555555555555555,-1.0,-0.041666666666666664,0.05555555555555555
25,14,1.0,2.0,Global off,Threat-like,2.0,36.0,0.05555555555555555,2.0,0.08695652173913043,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Global off,Threat-like,2.0,0.05555555555555555,2.0,0.08695652173913043,0.05555555555555555
7,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,1.0,18.0,0.05555555555555555,1.0,0.041666666666666664,CS-,ITI,1.0,1.0,Global off,Global off,-1.0,-0.05555555555555555,-1.0,-0.041666666666666664,0.05555555555555555
25,8,1.0,3.0,Global off,Safety-like,2.0,36.0,0.05555555555555555,2.0,0.08695652173913043,CS+,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.05555555555555555,2.0,0.08695652173913043,0.05555555555555555
4,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,Safety-like,Global off,4.0,72.0,0.05555555555555555,4.0,0.16666666666666666,CS-,ITI,3.0,1.0,Safety-like,Global off,-4.0,-0.05555555555555555,-4.0,-0.16666666666666666,0.05555555555555555
7,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,1.0,18.0,0.05555555555555555,1.0,0.041666666666666664,ITI,ITI,1.0,1.0,Global off,Global off,-1.0,-0.05555555555555555,-1.0,-0.041666666666666664,0.05555555555555555
15,32,2.0,4.0,Threat-like,Global on,2.0,30.0,0.06666666666666667,2.0,0.08695652173913043,CS+,ITI,2.0,4.0,Threat-like,Global on,5.0,41.0,0.12195121951219512,5.0,0.20833333333333334,CS+,CS+,2.0,4.0,Threat-like,Global on,-3.0,-0.055284552845528454,-3.0,-0.12137681159420291,0.055284552845528454
15,9,2.0,1.0,Threat-like,Global off,2.0,30.0,0.06666666666666667,2.0,0.08695652173913043,ITI,ITI,2.0,1.0,Threat-like,Global off,5.0,41.0,0.12195121951219512,5.0,0.20833333333333334,ITI,ITI,2.0,1.0,Threat-like,Global off,-3.0,-0.055284552845528454,-3.0,-0.12137681159420291,0.055284552845528454
14,16,2.0,4.0,Threat-like,Global on,4.0,43.0,0.09302325581395349,4.0,0.17391304347826086,CS-,ITI,2.0,4.0,Threat-like,Global on,2.0,52.0,0.038461538461538464,2.0,0.08333333333333333,CS+,CS+,2.0,4.0,Threat-like,Global on,2.0,0.05456171735241502,2.0,0.09057971014492754,0.05456171735241502
