state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
27,4,Global on,False,-0.04838709677419356,-0.01204819277108432,-0.03633890400310924,0.011999225856396362,0.01532213402252169,-0.003322908166125328,62,83,-21,ITI,ITI,1011,1011,-+-++,0.004663816556548767,0.04100272055965801,-0.04566653711620672,-0.043687733459610856,0.03633890400310924
23,4,Global on,False,-0.1411764705882353,-0.10810810810810811,-0.03306836248012718,0.016450551577317594,0.020491046704818165,-0.004040495127500571,85,111,-26,CS-,CS-,1101,1101,-++-+,0.017806041335453104,0.05087440381558028,-0.06868044515103333,0.044607441958730315,0.03306836248012718
32,4,Global on,True,0.0,-0.03206412825651303,0.03206412825651303,0.10412231468937488,0.09211740815949787,0.012004906529877013,538,499,39,CS+,ITI,11111,11111,+++++,0.03597902123950503,0.0039148929829919965,-0.039893914222496996,-0.024916908507225916,0.03206412825651303
10,1,Global off,False,0.15306122448979595,0.125,0.02806122448979595,0.018966518289142635,0.022152482924127748,-0.0031859646349851126,98,120,-22,CS+,CS+,10010,10010,+--+-,0.016326530612244927,-0.011734693877551022,-0.004591836734693877,0.02061468881249895,0.02806122448979595
25,1,Global off,False,-0.04807692307692307,-0.020202020202020193,-0.02787490287490288,0.020127733694600348,0.01827579841240539,0.0018519352821949574,104,99,5,ITI,ITI,11,11,---++,-0.037101787101787104,-0.009226884226884224,0.046328671328671356,0.04830747498526722,0.02787490287490288
22,4,Global on,False,-0.15909090909090906,-0.13157894736842107,-0.027511961722487988,0.008515579640023224,0.007014952925973786,0.0015006267140494382,44,38,6,CS-,CS-,10101,10101,+-+-+,-0.04425837320574162,-0.01674641148325362,0.06100478468899517,-0.023013373340103588,0.027511961722487988
5,1,Global off,False,0.006369426751592355,0.030303030303030304,-0.02393360355143795,0.030385136442810143,0.03045966402067565,-7.452757786550676e-05,157,165,-8,CS+,CS+,100,100,--+--,-0.024628450106157107,-0.0006948465547191585,0.025323296660876293,-0.020340291905903085,0.02393360355143795
17,1,Global off,False,-0.10646387832699622,-0.08898305084745764,-0.01748082747953858,0.050899941939229726,0.04356654975078457,0.007333392188445156,263,236,27,ITI,ITI,1,1,----+,0.019543081781272148,0.03702390926081073,-0.05656699104208285,-0.054588187385486986,0.01748082747953858
14,2,Threat-like,False,0.08396946564885499,0.07344632768361581,0.010523137965239182,0.025353203019160053,0.032674912313088424,-0.00732170929392837,131,177,-46,CS+,CS+,10110,10110,+-++-,0.04179065855867514,0.03126752059343596,-0.0730581791521111,0.046078816758929164,0.010523137965239182
19,3,Safety-like,False,-0.13157894736842105,-0.12142857142857141,-0.010150375939849632,0.029417456938262046,0.02584456341148237,0.003572893526779676,152,140,12,ITI,ITI,1001,1001,-+--+,-0.02048872180451128,-0.010338345864661647,0.03082706766917298,0.03280587132576884,0.010150375939849632
13,2,Threat-like,True,0.175,0.16549295774647887,0.009507042253521114,0.046448616218308494,0.052427542920435666,-0.005978926702127171,240,284,-44,CS+,CS+,110,110,--++-,0.035035211267605615,0.0255281690140845,-0.060563380281690116,0.03932336946785964,0.009507042253521114
11,1,Global off,False,-0.21951219512195125,-0.21739130434782608,-0.002120890774125167,0.007934971937294368,0.008491785120915635,-0.0005568131836212672,41,46,-5,CS-,CS-,1010,1010,-+-+-,-0.09544008483563096,-0.0933191940615058,0.18875927889713684,-0.09958615591835576,0.002120890774125167
28,4,Global on,False,-0.06211180124223603,-0.06097560975609756,-0.0011361914861384714,0.031159280046448617,0.030275059996307918,0.0008842200501406987,161,164,-3,ITI,ITI,11011,11011,++-++,-0.02832904105438569,-0.027192849568247218,0.05552189062263291,0.05750069427922877,0.0011361914861384714
