source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
10,25,1.0,1.0,Global off,Global off,4.0,95.0,0.042105263157894736,4.0,0.16666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,1.0,110.0,0.00909090909090909,1.0,0.041666666666666664,ITI,CS-,1.0,1.0,Global off,Global off,3.0,0.03301435406698565,3.0,0.125,0.03301435406698565
18,10,3.0,1.0,Safety-like,Global off,4.0,75.0,0.05333333333333334,3.0,0.125,ITI,CS+,3.0,1.0,Safety-like,Global off,2.0,98.0,0.02040816326530612,2.0,0.08333333333333333,CS+,CS+,3.0,1.0,Safety-like,Global off,2.0,0.03292517006802721,1.0,0.04166666666666667,0.03292517006802721
6,10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,2.0,61.0,0.03278688524590164,2.0,0.08333333333333333,ITI,ITI,1.0,1.0,Global off,Global off,-2.0,-0.03278688524590164,-2.0,-0.08333333333333333,0.03278688524590164
31,32,4.0,4.0,Global on,Global on,48.0,220.0,0.21818181818181817,21.0,0.875,ITI,ITI,4.0,4.0,Global on,Global on,41.0,221.0,0.18552036199095023,15.0,0.625,ITI,ITI,4.0,4.0,Global on,Global on,7.0,0.03266145619086794,6.0,0.25,0.03266145619086794
16,9,4.0,1.0,Global on,Global off,1.0,226.0,0.004424778761061947,1.0,0.041666666666666664,ITI,ITI,4.0,1.0,Global on,Global off,8.0,216.0,0.037037037037037035,7.0,0.2916666666666667,ITI,ITI,4.0,1.0,Global on,Global off,-7.0,-0.03261225827597509,-6.0,-0.25,0.03261225827597509
12,30,4.0,4.0,Global on,Global on,3.0,92.0,0.03260869565217391,3.0,0.125,CS+,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,3.0,0.03260869565217391,3.0,0.125,0.03260869565217391
6,16,1.0,4.0,Global off,Global on,6.0,73.0,0.0821917808219178,5.0,0.20833333333333334,CS+,ITI,1.0,4.0,Global off,Global on,7.0,61.0,0.11475409836065574,5.0,0.20833333333333334,ITI,ITI,1.0,4.0,Global off,Global on,-1.0,-0.03256231753873794,0.0,0.0,0.03256231753873794
22,1,4.0,1.0,Global on,Global off,5.0,44.0,0.11363636363636363,5.0,0.20833333333333334,CS+,ITI,4.0,1.0,Global on,Global off,3.0,37.0,0.08108108108108109,3.0,0.125,ITI,CS+,4.0,1.0,Global on,Global off,2.0,0.03255528255528255,2.0,0.08333333333333334,0.03255528255528255
21,3,1.0,1.0,Global off,Global off,3.0,93.0,0.03225806451612903,3.0,0.125,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,0.03225806451612903,3.0,0.125,0.03225806451612903
18,20,3.0,3.0,Safety-like,Safety-like,6.0,75.0,0.08,5.0,0.20833333333333334,ITI,ITI,3.0,3.0,Safety-like,Safety-like,11.0,98.0,0.11224489795918367,6.0,0.25,ITI,ITI,3.0,3.0,Safety-like,Safety-like,-5.0,-0.03224489795918367,-1.0,-0.04166666666666666,0.03224489795918367
24,1,4.0,1.0,Global on,Global off,3.0,121.0,0.024793388429752067,3.0,0.125,CS+,ITI,4.0,1.0,Global on,Global off,9.0,159.0,0.05660377358490566,8.0,0.3333333333333333,ITI,ITI,4.0,1.0,Global on,Global off,-6.0,-0.031810385155153595,-5.0,-0.20833333333333331,0.031810385155153595
3,19,1.0,3.0,Global off,Safety-like,1.0,102.0,0.00980392156862745,1.0,0.041666666666666664,ITI,ITI,1.0,3.0,Global off,Safety-like,5.0,121.0,0.04132231404958678,5.0,0.20833333333333334,ITI,CS-,1.0,3.0,Global off,Safety-like,-4.0,-0.03151839248095933,-4.0,-0.16666666666666669,0.03151839248095933
22,30,4.0,4.0,Global on,Global on,1.0,44.0,0.022727272727272728,1.0,0.041666666666666664,ITI,ITI,4.0,4.0,Global on,Global on,2.0,37.0,0.05405405405405406,2.0,0.08333333333333333,ITI,ITI,4.0,4.0,Global on,Global on,-1.0,-0.03132678132678133,-1.0,-0.041666666666666664,0.03132678132678133
24,32,4.0,4.0,Global on,Global on,19.0,121.0,0.15702479338842976,12.0,0.5,ITI,ITI,4.0,4.0,Global on,Global on,20.0,159.0,0.12578616352201258,13.0,0.5416666666666666,ITI,ITI,4.0,4.0,Global on,Global on,-1.0,0.031238629866417178,-1.0,-0.04166666666666663,0.031238629866417178
