cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,3,238,0.022486772486772486,34,65,139,0,0.14285714285714285,0.27310924369747897,0.5840336134453782,-0.13025210084033612,ITI,CS-,0.06052420968387354,-0.054421768707483,0.06052420968387354,-0.006102440976390566,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,1,0.1270999999999999,1000,1000,-+---
merged,15,223,0.021069538926681782,70,49,104,0,0.31390134529147984,0.21973094170403587,0.4663677130044843,0.09417040358744397,ITI,CS+,0.11662243372685399,0.11662243372685399,0.007145907690430442,-0.12376834141728443,0.19727891156462585,0.21258503401360543,0.5901360544217688,2,Threat-like,13,False,1,0.2489,1110,1110,-+++-
merged,10,218,0.020597127739984882,67,37,114,0,0.3073394495412844,0.16972477064220184,0.5229357798165137,0.13761467889908255,ITI,CS+,0.11006053797665855,0.11006053797665855,-0.042860263371403584,-0.06720027460525502,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,0.3188999999999999,10010,10010,+--+-
merged,21,203,0.01917989417989418,31,40,132,0,0.15270935960591134,0.19704433497536947,0.6502463054187192,-0.04433497536945813,ITI,ITI,0.06011025099695044,-0.04456955195871451,-0.015540699038235961,0.06011025099695044,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,0.2995,101,101,--+-+
merged,25,203,0.01917989417989418,31,38,134,0,0.15270935960591134,0.18719211822660098,0.6600985221674877,-0.03448275862068964,ITI,ITI,0.0699624677457189,-0.04456955195871451,-0.02539291578700445,0.0699624677457189,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,0.3641000000000001,11,11,---++
merged,23,196,0.018518518518518517,28,52,116,0,0.14285714285714285,0.2653061224489796,0.5918367346938775,-0.12244897959183676,ITI,CS-,0.05272108843537418,-0.054421768707483,0.05272108843537418,0.00170068027210879,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,0.3207,1101,1101,-++-+
merged,12,192,0.018140589569160998,45,49,98,0,0.234375,0.2552083333333333,0.5104166666666666,-0.020833333333333315,ITI,CS-,0.042623299319727886,0.03709608843537415,0.042623299319727886,-0.07971938775510212,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,0.3013,11010,11010,++-+-
merged,8,186,0.017573696145124718,29,50,107,0,0.15591397849462366,0.26881720430107525,0.5752688172043011,-0.1129032258064516,ITI,CS-,0.056232170287469824,-0.04136493307000219,0.056232170287469824,-0.014867237217467633,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,0.3663,11100,11100,+++--
merged,18,184,0.017384731670445956,20,41,123,0,0.10869565217391304,0.22282608695652173,0.6684782608695652,-0.11413043478260869,ITI,ITI,0.07834220644779644,-0.0885832593907128,0.010241052942916301,0.07834220644779644,0.19727891156462585,0.21258503401360543,0.5901360544217688,3,Safety-like,20,False,1,0.2483,10001,10001,+---+
merged,27,145,0.013699924414210128,23,27,95,0,0.15862068965517243,0.18620689655172415,0.6551724137931034,-0.027586206896551724,ITI,ITI,0.06503635937133467,-0.03865822190945342,-0.02637813746188128,0.06503635937133467,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,0.6520999999999999,1011,1011,-+-++
merged,6,139,0.013133030990173848,32,37,70,0,0.2302158273381295,0.26618705035971224,0.5035971223021583,-0.03597122302158273,ITI,CS-,0.05360201634610681,0.03293691577350366,0.05360201634610681,-0.0865389321196105,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,0.6506999999999998,10100,10100,+-+--
merged,7,114,0.010770975056689343,29,27,58,0,0.2543859649122807,0.23684210526315788,0.5087719298245614,0.017543859649122834,ITI,CS+,0.05710705334765487,0.05710705334765487,0.024257071249552453,-0.08136412459720732,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,0.8703,1100,1100,-++--
merged,26,104,0.009826152683295541,18,17,69,0,0.17307692307692307,0.16346153846153846,0.6634615384615384,0.009615384615384609,ITI,ITI,0.07332548403976968,-0.024201988487702775,-0.049123495552066965,0.07332548403976968,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,0.8741,10011,10011,+--++
merged,11,87,0.008219954648526076,15,34,38,0,0.1724137931034483,0.39080459770114945,0.4367816091954023,-0.21839080459770116,ITI,CS-,0.17821956368754402,-0.02486511846117756,0.17821956368754402,-0.15335444522636643,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,2,1.2293,1010,1010,-+-+-
merged,22,82,0.007747543461829176,11,23,48,0,0.13414634146341464,0.2804878048780488,0.5853658536585366,-0.14634146341463417,ITI,CS-,0.06790277086444338,-0.0631325701012112,0.06790277086444338,-0.004770200763232202,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,2,1.2335,10101,10101,+-+-+
HC,1,539,0.09950156913420713,120,115,304,0,0.22263450834879406,0.21335807050092764,0.5640074211502782,0.009276437847866414,ITI,CS+,0.023262162031644357,0.023262162031644357,0.0038325028435527153,-0.027094664875197072,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,True,0,-1.3661,0,0,-----
HC,32,499,0.09211740815949787,85,101,313,0,0.17034068136272545,0.20240480961923848,0.627254509018036,-0.03206412825651303,ITI,ITI,0.03615242299256072,-0.029031664954424247,-0.007120758038136443,0.03615242299256072,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,True,0,-1.3539,11111,11111,+++++
HC,20,312,0.05759645560273214,26,61,225,0,0.08333333333333333,0.1955128205128205,0.7211538461538461,-0.11217948717948718,ITI,ITI,0.13005176012837083,-0.11603901298381637,-0.014012747144554416,0.13005176012837083,0.1993723463171497,0.20952556765737493,0.5911020860254753,3,Safety-like,20,True,0,-0.6553000000000002,11001,11001,++--+
HC,13,284,0.052427542920435666,93,46,145,0,0.3274647887323944,0.1619718309859155,0.5105633802816901,0.16549295774647887,ITI,CS+,0.12809244241524467,0.12809244241524467,-0.04755373667145943,-0.08053870574378519,0.1993723463171497,0.20952556765737493,0.5911020860254753,2,Threat-like,13,True,0,-0.6583000000000001,110,110,--++-
HC,2,247,0.04559719401882961,43,59,145,0,0.17408906882591094,0.2388663967611336,0.5870445344129555,-0.06477732793522267,ITI,CS-,0.02934082910375868,-0.025283277491238765,0.02934082910375868,-0.004057551612519861,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,1,-0.6104999999999999,10000,10000,+----
HC,31,246,0.04541258999446188,54,47,145,0,0.21951219512195122,0.1910569105691057,0.5894308943089431,0.028455284552845517,ITI,CS+,0.02013984880480152,0.02013984880480152,-0.018468657088269225,-0.0016711917165321832,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,False,1,-0.6043,1111,1111,-++++
HC,16,237,0.0437511537751523,70,38,129,0,0.29535864978902954,0.16033755274261605,0.5443037974683544,0.1350210970464135,ITI,CS+,0.09598630347187984,0.09598630347187984,-0.04918801491475888,-0.04679828855712087,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,False,1,-0.5875000000000001,11110,11110,++++-
HC,17,236,0.04356654975078457,25,46,165,0,0.1059322033898305,0.19491525423728814,0.6991525423728814,-0.08898305084745764,ITI,ITI,0.10805045634740607,-0.0934401429273192,-0.014610313420086785,0.10805045634740607,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,1,-0.5941000000000001,1,1,----+
HC,29,212,0.03913605316595902,58,35,119,0,0.27358490566037735,0.1650943396226415,0.5613207547169812,0.10849056603773585,ITI,CS+,0.07421255934322765,0.07421255934322765,-0.04443122803473343,-0.02978133130849414,0.1993723463171497,0.20952556765737493,0.5911020860254753,2,Threat-like,13,False,1,-0.4658999999999999,111,111,--+++
HC,4,199,0.03673620084917851,36,44,119,0,0.18090452261306533,0.22110552763819097,0.5979899497487438,-0.040201005025125636,ITI,CS-,0.01157995998081604,-0.01846782370408437,0.01157995998081604,0.006887863723268439,0.1993723463171497,0.20952556765737493,0.5911020860254753,3,Safety-like,20,False,1,-0.4684999999999999,11000,11000,++---
HC,14,177,0.032674912313088424,48,35,94,0,0.2711864406779661,0.1977401129943503,0.5310734463276836,0.07344632768361581,ITI,CS+,0.0718140943608164,0.0718140943608164,-0.011785454663024636,-0.06002863969779171,0.1993723463171497,0.20952556765737493,0.5911020860254753,2,Threat-like,13,False,1,-0.1435000000000001,10110,10110,+-++-
HC,24,173,0.0319364962156175,17,46,110,0,0.09826589595375723,0.2658959537572254,0.6358381502890174,-0.16763005780346818,ITI,CS-,0.056370386099850484,-0.10110645036339247,0.056370386099850484,0.04473606426354204,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,False,1,-0.0965,11101,11101,+++-+
HC,5,165,0.03045966402067565,44,39,82,0,0.26666666666666666,0.23636363636363636,0.49696969696969695,0.030303030303030304,ITI,CS+,0.06729432034951696,0.06729432034951696,0.02683806870626143,-0.09413238905577836,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,1,-0.1965,100,100,--+--
HC,28,164,0.030275059996307918,24,34,106,0,0.14634146341463414,0.2073170731707317,0.6463414634146342,-0.06097560975609756,ITI,ITI,0.05523937738915885,-0.053030882902515564,-0.002208494486643231,0.05523937738915885,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,False,1,-0.1891,11011,11011,++-++
HC,9,145,0.026767583533321027,43,34,68,0,0.296551724137931,0.23448275862068965,0.4689655172413793,0.062068965517241365,ITI,CS+,0.09717937782078132,0.09717937782078132,0.024957190963314724,-0.12213656878409601,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,1,-0.1043,10,10,---+-
HC,19,140,0.02584456341148237,13,30,97,0,0.09285714285714286,0.21428571428571427,0.6928571428571428,-0.12142857142857141,ITI,ITI,0.10175505683166752,-0.10651520346000684,0.004760146628339346,0.10175505683166752,0.1993723463171497,0.20952556765737493,0.5911020860254753,3,Safety-like,20,False,1,-0.1465000000000001,1001,1001,-+--+
HC,3,128,0.023629315119069596,21,33,74,0,0.1640625,0.2578125,0.578125,-0.09375,ITI,CS-,0.04828693234262507,-0.0353098463171497,0.04828693234262507,-0.012977086025475315,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,1,0.1270999999999999,1000,1000,-+---
HC,30,123,0.02270629499723094,21,21,81,0,0.17073170731707318,0.17073170731707318,0.6585365853658537,0.0,ITI,ITI,0.06743449934037837,-0.028640639000076518,-0.038793860340301745,0.06743449934037837,0.1993723463171497,0.20952556765737493,0.5911020860254753,4,Global on,32,False,1,0.1356999999999999,10111,10111,+-+++
HC,10,120,0.022152482924127748,36,21,63,0,0.3,0.175,0.525,0.125,ITI,CS+,0.10062765368285029,0.10062765368285029,-0.03452556765737494,-0.06610208602547529,0.1993723463171497,0.20952556765737493,0.5911020860254753,1,Global off,1,False,2,0.3188999999999999,10010,10010,+--+-
HC,15,116,0.021414066826656822,36,23,57,0,0.3103448275862069,0.19827586206896552,0.49137931034482757,0.11206896551724138,ITI,CS+,0.1109724812690572,0.1109724812690572,-0.011249705588409403,-0.09972277568064775,0.1993723463171497,0.20952556765737493,0.5911020860254753,2,Threat-like,13,False,1,0.2489,1110,1110,-+++-
