source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
15,13,2.0,2.0,Threat-like,Threat-like,8.0,84.0,0.09523809523809523,7.0,0.2916666666666667,ITI,ITI,2.0,2.0,Threat-like,Threat-like,17.0,110.0,0.15454545454545454,12.0,0.5,CS-,ITI,2.0,2.0,Threat-like,Threat-like,-9.0,-0.05930735930735931,-5.0,-0.20833333333333331,0.05930735930735931
4,13,3.0,2.0,Safety-like,Threat-like,1.0,195.0,0.005128205128205128,1.0,0.041666666666666664,CS-,ITI,3.0,2.0,Safety-like,Threat-like,13.0,202.0,0.06435643564356436,9.0,0.375,ITI,CS+,3.0,2.0,Safety-like,Threat-like,-12.0,-0.05922823051535923,-8.0,-0.3333333333333333,0.05922823051535923
13,14,2.0,2.0,Threat-like,Threat-like,11.0,243.0,0.04526748971193416,6.0,0.25,ITI,ITI,2.0,2.0,Threat-like,Threat-like,27.0,259.0,0.10424710424710425,16.0,0.6666666666666666,ITI,ITI,2.0,2.0,Threat-like,Threat-like,-16.0,-0.05897961453517009,-10.0,-0.41666666666666663,0.05897961453517009
8,6,3.0,1.0,Safety-like,Global off,6.0,93.0,0.06451612903225806,3.0,0.125,CS+,ITI,3.0,1.0,Safety-like,Global off,1.0,107.0,0.009345794392523364,1.0,0.041666666666666664,CS+,CS+,3.0,1.0,Safety-like,Global off,5.0,0.0551703346397347,2.0,0.08333333333333334,0.0551703346397347
7,31,1.0,4.0,Global off,Global on,5.0,51.0,0.09803921568627451,4.0,0.16666666666666666,CS-,ITI,1.0,4.0,Global off,Global on,3.0,69.0,0.043478260869565216,3.0,0.125,CS+,ITI,1.0,4.0,Global off,Global on,2.0,0.05456095481670929,1.0,0.04166666666666666,0.05456095481670929
29,32,2.0,4.0,Threat-like,Global on,26.0,172.0,0.1511627906976744,12.0,0.5,ITI,ITI,2.0,4.0,Threat-like,Global on,20.0,207.0,0.0966183574879227,15.0,0.625,ITI,CS-,2.0,4.0,Threat-like,Global on,6.0,0.054544433209751705,-3.0,-0.125,0.054544433209751705
5,4,1.0,3.0,Global off,Safety-like,12.0,184.0,0.06521739130434782,11.0,0.4583333333333333,ITI,ITI,1.0,3.0,Global off,Safety-like,2.0,174.0,0.011494252873563218,2.0,0.08333333333333333,CS+,CS-,1.0,3.0,Global off,Safety-like,10.0,0.053723138430784606,9.0,0.375,0.053723138430784606
26,14,4.0,2.0,Global on,Threat-like,5.0,59.0,0.0847457627118644,5.0,0.20833333333333334,ITI,CS-,4.0,2.0,Global on,Threat-like,2.0,64.0,0.03125,2.0,0.08333333333333333,CS-,CS-,4.0,2.0,Global on,Threat-like,3.0,0.0534957627118644,3.0,0.125,0.0534957627118644
12,13,3.0,2.0,Safety-like,Threat-like,5.0,64.0,0.078125,4.0,0.16666666666666666,ITI,ITI,3.0,2.0,Safety-like,Threat-like,3.0,121.0,0.024793388429752067,3.0,0.125,CS+,CS+,3.0,2.0,Safety-like,Threat-like,2.0,0.05333161157024793,1.0,0.04166666666666666,0.05333161157024793
7,20,1.0,3.0,Global off,Safety-like,1.0,51.0,0.0196078431372549,1.0,0.041666666666666664,ITI,ITI,1.0,3.0,Global off,Safety-like,5.0,69.0,0.07246376811594203,4.0,0.16666666666666666,CS-,CS-,1.0,3.0,Global off,Safety-like,-4.0,-0.05285592497868713,-3.0,-0.125,0.05285592497868713
