cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
PTSD,16,32,19,4,4,ITI,ITI,182,0.1043956043956044,11,24,0.4583333333333333,Global on,Global on
PTSD,18,32,8,3,4,ITI,CS+,77,0.1038961038961039,7,24,0.2916666666666667,Safety-like,Global on
PTSD,1,2,39,1,1,ITI,ITI,385,0.1012987012987013,18,24,0.75,Global off,Global off
PTSD,7,1,5,1,1,CS+,ITI,51,0.09803921568627451,4,24,0.16666666666666666,Global off,Global off
PTSD,5,13,18,1,2,ITI,ITI,184,0.09782608695652174,13,24,0.5416666666666666,Global off,Threat-like
PTSD,23,32,7,4,4,CS+,ITI,73,0.0958904109589041,7,24,0.2916666666666667,Global on,Global on
PTSD,15,1,8,2,1,CS-,ITI,84,0.09523809523809523,7,24,0.2916666666666667,Threat-like,Global off
PTSD,15,13,8,2,2,ITI,ITI,84,0.09523809523809523,7,24,0.2916666666666667,Threat-like,Threat-like
PTSD,32,28,38,4,4,ITI,ITI,400,0.095,19,24,0.7916666666666666,Global on,Global on
PTSD,14,1,13,2,1,ITI,ITI,138,0.09420289855072464,10,24,0.4166666666666667,Threat-like,Global off
PTSD,12,1,6,3,1,CS-,ITI,64,0.09375,6,24,0.25,Safety-like,Global off
PTSD,12,32,6,3,4,ITI,ITI,64,0.09375,4,24,0.16666666666666666,Safety-like,Global on
PTSD,1,5,36,1,1,ITI,ITI,385,0.09350649350649351,17,24,0.7083333333333334,Global off,Global off
PTSD,13,32,22,2,4,ITI,ITI,243,0.09053497942386832,14,24,0.5833333333333334,Threat-like,Global on
PTSD,21,2,8,1,1,CS-,ITI,89,0.0898876404494382,5,24,0.20833333333333334,Global off,Global off
PTSD,27,25,8,4,1,ITI,ITI,90,0.08888888888888889,6,24,0.25,Global on,Global off
PTSD,16,13,16,4,2,ITI,ITI,182,0.08791208791208792,14,24,0.5833333333333334,Global on,Threat-like
PTSD,8,4,8,3,3,CS-,ITI,93,0.08602150537634409,7,24,0.2916666666666667,Safety-like,Safety-like
PTSD,26,13,5,4,2,CS+,ITI,59,0.0847457627118644,4,24,0.16666666666666666,Global on,Threat-like
PTSD,13,1,20,2,1,ITI,ITI,243,0.0823045267489712,13,24,0.5416666666666666,Threat-like,Global off
PTSD,4,20,16,3,3,ITI,ITI,195,0.08205128205128205,11,24,0.4583333333333333,Safety-like,Safety-like
PTSD,25,1,10,1,1,ITI,ITI,122,0.08196721311475409,9,24,0.375,Global off,Global off
PTSD,2,5,17,1,1,ITI,ITI,208,0.08173076923076923,13,24,0.5416666666666666,Global off,Global off
PTSD,9,4,12,1,3,ITI,ITI,147,0.08163265306122448,10,24,0.4166666666666667,Global off,Safety-like
