cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
HC,32,478,0.08416974819510477,111,122,245,0,0.23221757322175732,0.25523012552301255,0.5125523012552301,-0.023012552301255235,ITI,CS-,0.04832750182165668,0.02196929007331569,0.04832750182165668,-0.0702967918949724,0.21024828314844163,0.20690262370135587,0.5828490931502025,4,Global on,32,True,0,-1.2635,11111,11111,+++++
HC,20,317,0.05581968656453601,46,42,229,0,0.14511041009463724,0.13249211356466878,0.722397476340694,0.012618296529968459,ITI,ITI,0.13954838319049145,-0.06513787305380439,-0.07441051013668709,0.13954838319049145,0.21024828314844163,0.20690262370135587,0.5828490931502025,3,Safety-like,20,True,0,-0.7541,11001,11001,++--+
HC,13,311,0.05476316252861419,71,83,157,0,0.2282958199356913,0.26688102893890675,0.5048231511254019,-0.03858520900321544,ITI,CS-,0.05997840523755088,0.018047536787249685,0.05997840523755088,-0.07802594202480062,0.21024828314844163,0.20690262370135587,0.5828490931502025,2,Threat-like,13,True,0,-0.7568999999999999,110,110,--++-
HC,2,261,0.04595879556259905,42,59,160,0,0.16091954022988506,0.2260536398467433,0.6130268199233716,-0.06513409961685823,ITI,ITI,0.0301777267731691,-0.04932874291855657,0.019151016145387417,0.0301777267731691,0.21024828314844163,0.20690262370135587,0.5828490931502025,1,Global off,1,False,1,-0.5604999999999999,10000,10000,+----
HC,31,258,0.04543053354463814,61,59,138,0,0.2364341085271318,0.22868217054263565,0.5348837209302325,0.007751937984496138,ITI,CS+,0.02618582537869016,0.02618582537869016,0.02177954684127978,-0.04796537221996999,0.21024828314844163,0.20690262370135587,0.5828490931502025,4,Global on,32,False,1,-0.5520999999999999,1111,1111,-++++
HC,17,232,0.04085226272231027,31,29,172,0,0.1336206896551724,0.125,0.7413793103448276,0.008620689655172403,ITI,ITI,0.15853021719462512,-0.07662759349326922,-0.08190262370135587,0.15853021719462512,0.21024828314844163,0.20690262370135587,0.5828490931502025,1,Global off,1,False,1,-0.4559000000000001,1,1,----+
HC,16,229,0.040324000704349355,70,75,84,0,0.3056768558951965,0.32751091703056767,0.36681222707423583,-0.021834061135371174,ITI,CS-,0.1206082933292118,0.09542857274675487,0.1206082933292118,-0.21603686607596667,0.21024828314844163,0.20690262370135587,0.5828490931502025,4,Global on,32,False,1,-0.4467000000000001,11110,11110,++++-
HC,29,225,0.039619651347068144,49,51,125,0,0.21777777777777776,0.22666666666666666,0.5555555555555556,-0.00888888888888889,ITI,CS-,0.019764042965310785,0.0075294946293361364,0.019764042965310785,-0.02729353759464692,0.21024828314844163,0.20690262370135587,0.5828490931502025,2,Threat-like,13,False,1,-0.4537,111,111,--+++
HC,4,224,0.039443564007747844,58,44,122,0,0.25892857142857145,0.19642857142857142,0.5446428571428571,0.06250000000000003,ITI,CS+,0.048680288280129824,0.048680288280129824,-0.010474052272784445,-0.03820623600734541,0.21024828314844163,0.20690262370135587,0.5828490931502025,3,Safety-like,20,False,1,-0.4577,11000,11000,++---
HC,28,205,0.036097904560662086,43,41,121,0,0.2097560975609756,0.2,0.5902439024390244,0.00975609756097559,ITI,ITI,0.0073948092888218575,-0.0004921855874660264,-0.006902623701355859,0.0073948092888218575,0.21024828314844163,0.20690262370135587,0.5828490931502025,4,Global on,32,False,1,-0.3880999999999999,11011,11011,++-++
