source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
21,3,2.0,1.0,Threat-like,Global off,2.0,41.0,0.04878048780487805,2.0,0.08333333333333333,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Threat-like,Global off,2.0,0.04878048780487805,2.0,0.08333333333333333,0.04878048780487805
14,16,2.0,4.0,Threat-like,Global on,10.0,71.0,0.14084507042253522,9.0,0.375,CS+,CS-,2.0,4.0,Threat-like,Global on,7.0,76.0,0.09210526315789473,6.0,0.25,CS+,ITI,2.0,4.0,Threat-like,Global on,3.0,0.048739807264640486,3.0,0.125,0.048739807264640486
25,28,2.0,4.0,Threat-like,Global on,1.0,50.0,0.02,1.0,0.041666666666666664,CS+,CS+,2.0,4.0,Threat-like,Global on,3.0,44.0,0.06818181818181818,3.0,0.125,CS+,CS+,2.0,4.0,Threat-like,Global on,-2.0,-0.04818181818181817,-2.0,-0.08333333333333334,0.04818181818181817
25,31,2.0,4.0,Threat-like,Global on,1.0,50.0,0.02,1.0,0.041666666666666664,CS+,CS+,2.0,4.0,Threat-like,Global on,3.0,44.0,0.06818181818181818,3.0,0.125,ITI,ITI,2.0,4.0,Threat-like,Global on,-2.0,-0.04818181818181817,-2.0,-0.08333333333333334,0.04818181818181817
16,32,4.0,4.0,Global on,Global on,15.0,90.0,0.16666666666666666,13.0,0.5416666666666666,ITI,CS-,4.0,4.0,Global on,Global on,10.0,84.0,0.11904761904761904,7.0,0.2916666666666667,ITI,CS+,4.0,4.0,Global on,Global on,5.0,0.047619047619047616,6.0,0.24999999999999994,0.047619047619047616
16,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,4.0,84.0,0.047619047619047616,4.0,0.16666666666666666,CS-,CS-,4.0,1.0,Global on,Global off,-4.0,-0.047619047619047616,-4.0,-0.16666666666666666,0.047619047619047616
5,32,1.0,4.0,Global off,Global on,6.0,85.0,0.07058823529411765,4.0,0.16666666666666666,CS+,CS+,1.0,4.0,Global off,Global on,2.0,86.0,0.023255813953488372,2.0,0.08333333333333333,ITI,CS-,1.0,4.0,Global off,Global on,4.0,0.047332421340629274,2.0,0.08333333333333333,0.047332421340629274
29,1,2.0,1.0,Threat-like,Global off,7.0,120.0,0.058333333333333334,7.0,0.2916666666666667,ITI,ITI,2.0,1.0,Threat-like,Global off,1.0,89.0,0.011235955056179775,1.0,0.041666666666666664,ITI,CS-,2.0,1.0,Threat-like,Global off,6.0,0.04709737827715356,6.0,0.25,0.04709737827715356
31,29,4.0,2.0,Global on,Threat-like,12.0,108.0,0.1111111111111111,10.0,0.4166666666666667,ITI,ITI,4.0,2.0,Global on,Threat-like,7.0,109.0,0.06422018348623854,6.0,0.25,ITI,CS-,4.0,2.0,Global on,Threat-like,5.0,0.04689092762487257,4.0,0.16666666666666669,0.04689092762487257
14,32,2.0,4.0,Threat-like,Global on,8.0,71.0,0.11267605633802817,6.0,0.25,CS+,ITI,2.0,4.0,Threat-like,Global on,5.0,76.0,0.06578947368421052,5.0,0.20833333333333334,CS+,CS+,2.0,4.0,Threat-like,Global on,3.0,0.04688658265381765,1.0,0.04166666666666666,0.04688658265381765
