state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
25,2,Threat-like,False,0.13207547169811318,0.04000000000000001,0.09207547169811317,0.019954819277108432,0.0189897455374098,0.0009650737396986325,53,50,3,CS+,ITI,11,11,---++,0.10075471698113206,0.008679245283018888,-0.10943396226415092,0.0917242578868743,0.09207547169811317
23,4,Global on,False,-0.10869565217391304,-0.021276595744680854,-0.08741905642923219,0.017319277108433735,0.01785036080516521,-0.0005310836967314762,46,47,-1,ITI,ITI,1101,1101,-++-+,-0.10499537465309898,-0.017576318223866794,0.12257169287696579,0.11063460727668395,0.08741905642923219
16,4,Global on,False,-0.020833333333333343,0.04301075268817203,-0.06384408602150538,0.03614457831325301,0.03532092669958223,0.0008236516136707825,96,93,3,CS-,CS+,11110,11110,++++-,-0.05006720430107525,0.013776881720430123,0.03629032258064513,-0.013028954453984637,0.06384408602150538
26,4,Global on,False,0.021276595744680854,0.08333333333333331,-0.06205673758865246,0.017695783132530122,0.009115077857956703,0.008580705274573419,47,24,23,ITI,CS+,10011,10011,+--++,-0.1631205673758865,-0.10106382978723405,0.26418439716312053,-0.023325545760873118,0.06205673758865246
2,1,Global off,False,0.03125,0.08661417322834644,-0.05536417322834644,0.04819277108433735,0.04823395366502089,-4.1182580683536696e-05,128,127,1,CS+,ITI,10000,10000,+----,0.021715059055118113,0.07707923228346455,-0.09879429133858264,-0.03251225043284042,0.05536417322834644
5,1,Global off,False,0.06060606060606061,0.11224489795918366,-0.05163883735312305,0.03727409638554217,0.0372199012533232,5.419513221896488e-05,99,98,1,CS+,CS+,100,100,--+--,0.017419088847660302,0.06905792620078335,-0.08647701504844357,0.029482439096357338,0.05163883735312305
1,1,Global off,True,0.02996254681647939,-0.02032520325203252,0.05028775006851191,0.10052710843373494,0.0934295480440562,0.0070975603896787365,267,246,21,ITI,ITI,0,0,-----,0.019000639444596706,-0.031287110623915204,0.01228647117931847,0.0003493855790366318,0.05028775006851191
32,4,Global on,True,0.0,-0.0489795918367347,0.0489795918367347,0.09826807228915663,0.09304975313330802,0.005218319155848611,261,245,16,CS-,CS-,11111,11111,+++++,0.005895691609977299,-0.0430839002267574,0.03718820861678007,-0.04321016487517254,0.0489795918367347
8,3,Safety-like,False,0.017543859649122806,-0.03125,0.048793859649122806,0.021460843373493976,0.024306874287884542,-0.002846030914390566,57,64,-7,ITI,CS-,11100,11100,+++--,-0.12719298245614036,-0.17598684210526316,0.30317982456140347,0.10350536714190403,0.048793859649122806
31,4,Global on,False,-0.07142857142857142,-0.022727272727272735,-0.04870129870129869,0.04743975903614458,0.05013292821876187,-0.0026931691826172915,126,132,-6,CS-,CS-,1111,1111,-++++,-0.030303030303030304,0.018398268398268386,0.011904761904761862,0.018272003749853244,0.04870129870129869
21,2,Threat-like,False,-0.11363636363636365,-0.06818181818181818,-0.04545454545454547,0.016566265060240965,0.016710976072920623,-0.00014471101267965816,44,44,0,CS-,CS-,101,101,--+-+,0.0,0.04545454545454547,-0.045454545454545525,0.04532828080613033,0.04545454545454547
